,UP,DOWN,FLAT
628,0.39299574,0.3886064,0.37796855
629,0.37953588,0.38828856,0.39467683
630,0.39413324,0.3867787,0.3936083
631,0.39594802,0.4017715,0.38288605
632,0.39669043,0.4011812,0.40954974
633,0.39559653,0.3790093,0.39596656
634,0.38773343,0.39514658,0.389336
635,0.39527583,0.40287766,0.38722685
636,0.37291875,0.36680248,0.37384444
637,0.39451778,0.3984995,0.3702498
638,0.3822532,0.4010837,0.39714366
639,0.39440852,0.38601333,0.38740584
640,0.42630526,0.39681453,0.387267
641,0.39299574,0.3886064,0.37796855
642,0.3926916,0.3856904,0.39724997
643,0.37953588,0.38828856,0.39467683
644,0.3790695,0.3811205,0.38938123
645,0.32733274,0.35022455,0.35627878
646,0.3777287,0.37746108,0.3697396
647,0.40001464,0.4132732,0.388116
648,0.37756124,0.37882638,0.40449917
649,0.39090985,0.3855502,0.38812688
650,0.37429076,0.40176424,0.38492158
651,0.37288097,0.37905967,0.3958279
652,0.3955787,0.38585803,0.3900259
653,0.3780492,0.39961913,0.3758891
654,0.37441257,0.3936688,0.40131724
655,0.39286247,0.39588434,0.38533276
656,0.39594305,0.40042126,0.40267402
657,0.38223147,0.39232853,0.3961282
658,0.38910443,0.39724052,0.40341523
659,0.38657826,0.3816551,0.3896597
660,0.38424632,0.38102335,0.3915564
661,0.3807718,0.3860807,0.4033439
662,0.3925705,0.38425526,0.39407933
663,0.4129065,0.38776603,0.38082576
664,0.40576267,0.3938804,0.3775715
665,0.3876552,0.4038884,0.3944462
666,0.3946308,0.37968925,0.38712126
667,0.39488733,0.38046196,0.38354382
668,0.37381285,0.376053,0.39536873
669,0.37443683,0.36085474,0.36971784
670,0.37869486,0.38685662,0.3924954
671,0.38925624,0.38297418,0.40468898
672,0.3814971,0.38915128,0.38715294
673,0.40640327,0.37785217,0.41057187
674,0.39970806,0.40482983,0.40215966
675,0.3978023,0.39239734,0.4105016
676,0.37175003,0.37180075,0.38682726
677,0.3759745,0.39436466,0.37411356
678,0.39390263,0.39299974,0.3916229
679,0.37832913,0.3788687,0.3930134
680,0.3950809,0.39151505,0.39636737
681,0.3951043,0.39197522,0.3960917
682,0.38739094,0.37257102,0.38997385
683,0.38447872,0.38833958,0.39494297
684,0.3743955,0.38437033,0.40398225
685,0.3983101,0.37448326,0.37089586
686,0.40937364,0.3815943,0.37317774
687,0.3677568,0.38051343,0.36929768
688,0.3881809,0.38477513,0.39622742
689,0.41022944,0.3737086,0.39729768
690,0.38976496,0.39015484,0.39537838
691,0.37591705,0.3737113,0.3966888
692,0.4134412,0.3967381,0.3921703
693,0.42168126,0.3953468,0.41781163
694,0.39484507,0.3785586,0.38161126
695,0.36458117,0.36480016,0.37901652
